nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date
RACIKAN,JL. GATOT SUBROTO NO.27,lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,726,8,2.0,enriched_v1.0,2025-07-09
TERAS MALABAR RESTO BANDUNG,JL. MALABAR NO.2,lengkong,4.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Medium (3.5-4.0),Restaurant,246,8,2.0,enriched_v1.0,2025-07-09
GREAT DIMSUM BANDUNG 4,"STREET FOOD, JL. CIKURAY",lengkong,1.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Low (≤3.5),Chinese Food,723,2,2.0,enriched_v1.0,2025-07-09
BAN GO DIMSUM,JL. TESPONG NO.18,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Chinese Food,158,2,2.0,enriched_v1.0,2025-07-09
SEPULUH JIMBARAN SEAFOOD,3J9F+WP6,lengkong,3.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Low (≤3.5),Seafood,335,9,2.0,enriched_v1.0,2025-07-09
WASHOKU SATO EAT AND GO - AYANI,JL. A. YANI NO.202,lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,633,8,2.0,enriched_v1.0,2025-07-09
GARDEN RESTAURANT,JL. ASIA AFRIKA NO.112,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,42,8,2.0,enriched_v1.0,2025-07-09
HB GRILL GARDEN,JL. GATOT SUBROTO NO.83,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Western Food,159,10,2.0,enriched_v1.0,2025-07-09
ROSE FLOWER RESTAURANT,"JL. JEND. A. YANI NO.32, BURANGRANG, LENGKONG",lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,477,8,2.0,enriched_v1.0,2025-07-09
BUON_CAFFE.ID,JL. LODAYA NO.65,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,127,8,2.0,enriched_v1.0,2025-07-09
EIGHTYONE COFFEE BANDUNG,"DEKAT, JL. HALIMUN NO.18-8",lengkong,4.9,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,29,1,2.0,enriched_v1.0,2025-07-09
MARKA COFFEE & KITCHEN,JL. TALAGA BODAS NO.32,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,121,1,2.0,enriched_v1.0,2025-07-09
HEI COFFEE,JL. CIPAERA NO.12,lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,310,1,2.0,enriched_v1.0,2025-07-09
ADALAH KOPI SPESIALTI,JL. TALAGA BODAS NO.22,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,51,1,2.0,enriched_v1.0,2025-07-09
BICARA KOPI STREET,JL. TALAGA BODAS NO.14,lengkong,4.6,Rp 15.000 - 50.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,32,1,2.0,enriched_v1.0,2025-07-09
BRADCOFFEE,JL. K.H. AHMAD DAHLAN NO.34,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,47,1,2.0,enriched_v1.0,2025-07-09
RUMAH MAKAN SUNDA,JL. LODAYA NO.29,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Local Food,218,7,2.0,enriched_v1.0,2025-07-09
MILESTONE COFFEE,JL. SALAK NO.2,kiaracondong,4.9,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Cafe,8,1,2.0,enriched_v1.0,2025-07-09
ZOOGALA ROASTERY,JL. TALAGA BODAS NO.75,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,9,8,2.0,enriched_v1.0,2025-07-09
DAPOER PANDAN WANGI - PATUHA,JL. PATUHA NO.38,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,275,8,2.0,enriched_v1.0,2025-07-09
SORAI STEAMBOAT & GRILL - CIKURAY,"3JFM+257, JL. CIKURAY",lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Western Food,94,10,2.0,enriched_v1.0,2025-07-09
WARUNG AYAM KAMPUNG PANGALENGAN,JL. TALAGA BODAS NO.55,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Local Food,580,7,2.0,enriched_v1.0,2025-07-09
WARUNG NONGKRONG TB 39,JL. TALAGA BODAS NO.39,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Local Food,78,7,2.0,enriched_v1.0,2025-07-09
SIMPLY TOKIO GYUKATSU,JL. CIKURAY JL. GATOT SUBROTO,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,741,8,2.0,enriched_v1.0,2025-07-09
D'CHEERS • LODAYA,JL. LODAYA NO.127A,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,541,8,2.0,enriched_v1.0,2025-07-09
WARNAS SUNDA SARANA,JL. TURANGGA RAYA NO.61,lengkong,4.4,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,3189,8,2.0,enriched_v1.0,2025-07-09
CHICKENWINGS PELANGI,JL. ECENG NO.36,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,118,8,2.0,enriched_v1.0,2025-07-09
DE'BUTEAQ - BURGER & STEAK,JL. SALAK NO.2,lengkong,4.3,Rp 15.000 - 50.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Fast Food,186,4,2.0,enriched_v1.0,2025-07-09
RESTO BDG,JL. WINDU JL. GATOT SUBROTO,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,44,8,2.0,enriched_v1.0,2025-07-09
EMPERANO PIZZA CIKURAY,"CIBANGKONG, JL. CIKURAY",lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Fast Food,108,4,2.0,enriched_v1.0,2025-07-09
RAMEN & SUSHI DEGOZARU,JL. TURANGGA NO.11 A,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Japanese Food,122,5,2.0,enriched_v1.0,2025-07-09
TEMPAT MAKAN JCC,JL. PELAJAR PEJUANG 45 NO.56,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Local Food,434,7,2.0,enriched_v1.0,2025-07-09
DIMSUM KN,JL. TURANGGA NO.6C,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Chinese Food,20,2,2.0,enriched_v1.0,2025-07-09
DAS CAFE,"3JG6+JPR, JL. LENGKONG BESAR",lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,61,1,2.0,enriched_v1.0,2025-07-09
CHICKEN PLEASE,JL. SASAK GANTUNG NO.65,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,172,8,2.0,enriched_v1.0,2025-07-09
LASAGNA BY INOV,JL. LENGKONG TENGAH NO.II,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,399,8,2.0,enriched_v1.0,2025-07-09
MAKMUR JAYA COFFEE ROASTER,JL. LENGKONG BESAR NO.62,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,38,1,2.0,enriched_v1.0,2025-07-09
RAMEN BAJURI LENGKONG,JL. SASAK GANTUNG JL. LENGKONG BESAR NO.90,lengkong,4.4,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Japanese Food,404,5,2.0,enriched_v1.0,2025-07-09
CRF BANDENG PRESTO LEZAT,JL. LENGKONG BESAR NO.111,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,121,8,2.0,enriched_v1.0,2025-07-09
RICE BOWL CHICKEN WA TITI,GG. SASAK GANTUNG VI NO.30/17D,lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,3003,8,2.0,enriched_v1.0,2025-07-09
YES ICE PLEASE (YIP HAUZ),JL. LENGKONG BESAR NO.37,lengkong,4.6,Rp 15.000 - 50.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,487,8,2.0,enriched_v1.0,2025-07-09
HOMAN KITCHEN,JL. DALEM KAUM NO.112A,lengkong,4.9,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,90,8,2.0,enriched_v1.0,2025-07-09
NGAFEE,JL. DALEM KAUM NO.112,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,90,8,2.0,enriched_v1.0,2025-07-09
PONDOK PESANGGRAHAN,JL. LENGKONG BESAR NO.103,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,63,8,2.0,enriched_v1.0,2025-07-09
CAVIAR SKY BAR & RESTO,JL. LENGKONG KECIL NO.76-80,lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,593,8,2.0,enriched_v1.0,2025-07-09
MEAT SHOP & GOURMET INDOGUNA BANDUNG,JL. PELAJAR PEJUANG 45 NO.79,lengkong,4.9,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,39,8,2.0,enriched_v1.0,2025-07-09
ASPARAGUS CATERING,JL. JOTANG NO.20,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,257,8,2.0,enriched_v1.0,2025-07-09
BODAS,JL. TALAGA BODAS NO.64,lengkong,4.4,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,283,8,2.0,enriched_v1.0,2025-07-09
DE LA ROUTE,JL. TALAGA BODAS NO.65,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,57,8,2.0,enriched_v1.0,2025-07-09
MANG KABAYAN,JL. SOEKARNO HATTA NO.487B,lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,83,8,2.0,enriched_v1.0,2025-07-09
RUMAH MAKAN SURYALAYA 22,JL. SURYALAYA NO.22,lengkong,4.4,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Local Food,439,7,2.0,enriched_v1.0,2025-07-09
MARUGAME UDON BUAH BATU,JL. BUAH BATU NO.157,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,268,8,2.0,enriched_v1.0,2025-07-09
CHIRRENG TRADITIONAL FOOD,JL. CIJAGRA NO.8-2,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,94,8,2.0,enriched_v1.0,2025-07-09
SUBWAY - BUAH BATU,JL. BUAH BATU NO.191,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,267,8,2.0,enriched_v1.0,2025-07-09
SKY STEAK & PASTA - BUAH BATU,JL. BUAH BATU,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Western Food,76,10,2.0,enriched_v1.0,2025-07-09
BOVINI,JL. NILEM RAYA NO.9,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,74,8,2.0,enriched_v1.0,2025-07-09
YAMCHA RESTO,JL. BUAH BATU NO.222 A,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,40,8,2.0,enriched_v1.0,2025-07-09
CHINGU CAFE,JL. BUAH BATU NO.218,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Cafe,310,1,2.0,enriched_v1.0,2025-07-09
KEDAI RUMAH,JL. CIJAGRA NO.18,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,52,8,2.0,enriched_v1.0,2025-07-09
MIE RAMEN,JL. CIJAGRA NO.57B,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Japanese Food,156,5,2.0,enriched_v1.0,2025-07-09
ROMANT (ROTI MANTAP),JL. SURYALAYA NO.50,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Bakery,92,0,2.0,enriched_v1.0,2025-07-09
SEGAMAMAKE.ID,JL. SITU LEMBANG NO.6,lengkong,3.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Medium (3.5-4.0),Restaurant,295,8,2.0,enriched_v1.0,2025-07-09
DIMSUM CORNER,JL. SOEKARNO HATTA NO.489,lengkong,4.2,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Chinese Food,3623,2,2.0,enriched_v1.0,2025-07-09
QUEEN RESTAURANT,JL. DALEM KAUM NO.79,lengkong,4.6,Rp 100.000 - 200.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,57,8,2.0,enriched_v1.0,2025-07-09
OTW SUSHI,JL. DALEM KAUM NO.122,lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Japanese Food,176,5,2.0,enriched_v1.0,2025-07-09
BURGER CRAFT,JL. KARAPITAN NO.27,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Fast Food,22,4,2.0,enriched_v1.0,2025-07-09
BURGER KOJO BANDUNG,JL. BUAH BATU NO.3,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Fast Food,241,4,2.0,enriched_v1.0,2025-07-09
BROTBROT BURGER,"3J89+65W, JL. CILENTAH DALAM 2",lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Fast Food,29,4,2.0,enriched_v1.0,2025-07-09
WARUNG LOTEK MACAN,JL. MACAN NO.1,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Local Food,132,7,2.0,enriched_v1.0,2025-07-09
FAST SATAY,JL. WAYANG NO.2,lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,42,8,2.0,enriched_v1.0,2025-07-09
BANG SATE BANG BURANGRANG,JL. BURANGRANG NO.38A,lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,255,8,2.0,enriched_v1.0,2025-07-09
COKLAT DESSERT,JL. CILENTAH,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,280,8,2.0,enriched_v1.0,2025-07-09
DIMSUM 99 BANDUNG,JL. TAMBAKANG NO.2,lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Chinese Food,452,2,2.0,enriched_v1.0,2025-07-09
JUSTUS STEAK HOUSE BUAHBATU,"JL. BUAH BATU NO.157 C, RT.007/RW.006",lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Western Food,297,10,2.0,enriched_v1.0,2025-07-09
TAMI YAKITORI,JL. BUAH BATU NO.298A,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,85,8,2.0,enriched_v1.0,2025-07-09
TTKR SPECIALTY COFFEE & ROTI MACAN,JL. BUAH BATU NO.129,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Bakery,117,0,2.0,enriched_v1.0,2025-07-09
NAV BUAHBATU,JL. BUAH BATU KUJANGSARI NO.264,lengkong,4.1,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,699,8,2.0,enriched_v1.0,2025-07-09
MANA SOCIAL CAFE (BUAH BATU),JL. BUAH BATU NO.127,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,137,1,2.0,enriched_v1.0,2025-07-09
MAXX COFFEE,JL. BUAH BATU NO.157,lengkong,4.7,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,744,1,2.0,enriched_v1.0,2025-07-09
KEDAI KOPI WINARDI / SEHAT TENTREM BUAH BATU,JL. NILEM VI NO.11,lengkong,4.9,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,92,1,2.0,enriched_v1.0,2025-07-09
PARLA BANDUNG,JL. LODAYA NO.2A,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,126,8,2.0,enriched_v1.0,2025-07-09
RUMAH LEZAT SIMPLISIO,JL. KARAPITAN NO.45,lengkong,4.4,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,595,8,2.0,enriched_v1.0,2025-07-09
MS & CO. OFFICE,JL. SADAKELING NO.21,lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,355,8,2.0,enriched_v1.0,2025-07-09
A PLACE IN BETWEEN,JL. SADAKELING GG. TANUWIREJA NO.34/107,lengkong,4.9,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,31,8,2.0,enriched_v1.0,2025-07-09
ARMOR GENUINE - SUNDA 8,JL. SUNDA NO.8,lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,558,8,2.0,enriched_v1.0,2025-07-09
I COFFEE BANDUNG,"3JF8+JR6, JL. KARAPITAN",lengkong,5.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,19,1,2.0,enriched_v1.0,2025-07-09
ZUPA - ZUPA SOUP MR. ZUPA,"3JG9+4XW, JL. BURANGRANG",lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,125,8,2.0,enriched_v1.0,2025-07-09
BOMBER BURGER,JL. BURANGRANG NO.34,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Fast Food,64,4,2.0,enriched_v1.0,2025-07-09
NOLDA POCHA BANDUNG,LENGKONG BURANGRANG,lengkong,4.5,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,220,8,2.0,enriched_v1.0,2025-07-09
KOFU COFFEE,JL. BUAH BATU NO.70,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Cafe,47,1,2.0,enriched_v1.0,2025-07-09
KEBULI IJAB QABUL BURANGRANG,JL. BURANGRANG NO.34,lengkong,4.8,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,18,8,2.0,enriched_v1.0,2025-07-09
PATRONE,JL. BURANGRANG NO.22B,lengkong,4.6,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,34,8,2.0,enriched_v1.0,2025-07-09
BUL BARBEQUE,JL. KANCRA NO.66,lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,273,8,2.0,enriched_v1.0,2025-07-09
TERA SUKI & BBQ RESTO,JL. BURANGRANG NO.42 LANTAI 2,lengkong,3.9,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Medium (3.5-4.0),Korean Food,763,6,2.0,enriched_v1.0,2025-07-09
ALBARI FRIED CHICKEN,"RAYA DEPAN RUMAH JL. CIJAGRA, JL. BUAH BATU NO.6",lengkong,1.0,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Low (≤3.5),Fast Food,341,4,2.0,enriched_v1.0,2025-07-09
SATE MADURA COD,3MX4+3XM,kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,139,8,2.0,enriched_v1.0,2025-07-09
WAROENG ONLINE,"3JRX+5Q5, JL. SUKALAKSANA",kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,74,8,2.0,enriched_v1.0,2025-07-09
BLANCPASTRY,JL. A. YANI NO.730,kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,7,8,2.0,enriched_v1.0,2025-07-09
DARIMSUM DIMSUM,GG. SUKAASIH II NO.18,kiaracondong,4.9,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Chinese Food,83,2,2.0,enriched_v1.0,2025-07-09
"I'M HUNGRY !!! (BURGER , HOTDOG , SPAGHETTI & STEAK) -
  KIARACONDONG","SAMPING TERAS BRI, JL. KEBON JAYANTI",kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Fast Food,78,4,2.0,enriched_v1.0,2025-07-09
WARUNG NASI IBU IHOH,JL. KIARA CONDONG NO.259,kiaracondong,4.56021505376344,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Local Food,234,7,2.0,enriched_v1.0,2025-07-09
BANDUNG DIMSUM,JL. PSM NO.DALAM,kiaracondong,4.8,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Chinese Food,36,2,2.0,enriched_v1.0,2025-07-09
KEDAI ALFATIH,"3JCW+P2V, GANG RANU",kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,52,8,2.0,enriched_v1.0,2025-07-09
SHELTER GATSU BIKERS GREENERATION • ID,JL. TERUSAN GATOT SUBROTO NO.465,kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,66,8,2.0,enriched_v1.0,2025-07-09
TACOBI,"L, JL. TERUSAN GATOT SUBROTO JL. PAPANGGUNGAN NO.107/127C 2,
  RT.06/RW.04",kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,43,8,2.0,enriched_v1.0,2025-07-09
DIMSUM INMONS KEBONKANGKUNG,GG. KB. KANGKUNG IX NO.6 A,kiaracondong,4.7,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Chinese Food,149,2,2.0,enriched_v1.0,2025-07-09
AQIQAHKU KIARA CONDONG,JL. TERUSAN PSM NO.208A,kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,164,8,2.0,enriched_v1.0,2025-07-09
WARUNG ASAKAN SIAP SAJI,3JCX+7X3,kiaracondong,4.56021505376344,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Local Food,248,7,2.0,enriched_v1.0,2025-07-09
