nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan
THE WINDCHIME,"JL. ARJUNA 63A, RW.01",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,76
SEJAHTERA RESTO,JL. CIKUTRA NO.212,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,190
CORNDOG FIMS_ID,GG. BINAAN II NO.5,cibeunying kidul,4.4,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,270
KHAYANGAN ASIAN FUSION FOOD,JALAN VILLA ASRI TENGAH V C 33,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,125
"W FIMS_ID,NEGLASARI UTARA",GG. BINAAN II NO.5,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,278
BENTO KOPI CIKUTRA,GG. SEKEJATI 9 NO.74,cibeunying kaler,4.3,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Cafe,528
BURGER MONJOE,JL. BOJONG KONENG NO.17A,cibeunying kidul,4.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,140
PANCAKE DURIAN KUY,4J4W+745,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Bakery,141
INA COOKIES,JL. BOJONG KONENG ATAS NO.8,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,127
BEBZ BAR AND GRILL,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Western Food,618
CATERING MURAH BANDUNG,JL. KUSUMA NUSANTARA I NO.5,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,586
KEDAI POJOK CITARASA - KANTIN HALAL UIN BANDUNG,UNIVERSITAS ISLAM NEGERI,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,76
DIMSUM 2711,JL. DESA CIPADUNG NO.121,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Chinese Food,507
SUSHI JANDA,JL. A.H. NASUTION NO.115,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Japanese Food,68
JAWA FOOD 968 LESEHAN KHAS JOGYAKARTA,"JL.TERUSAN PANYILEUKAN, GG. DARUSSALAM BPR 2 NO.31",cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,16
ARABIAN KEBAB CIPADUNG,JL. DESA CIPADUNG NO.232,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,184
AHSAN CHICKEN CRISPY,JL. EMBAH JAKSA NO.233,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,38
PIZZA & BURGER ANANDA,JL. PADASUKA NO.127-129,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,204
OHAYOO,JL. A. YANI,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,233
"NU'IKI - EAT, DRINK, BE CREATIVE","3JPP+MFV, JL. KEBONWARU SELATAN",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,54
THE IS CATERING,JL. WIRANTA NO.35,cibeunying kidul,4.2,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,380
CONTRAST COFFEE & ROASTERY,JL. CISADEA NO.26,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,72
AWUG CIBEUNYING,JL. A. YANI NO.361,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,145
LAOBAN BY UNCLE OSH KATAMSO,JL. BRIGADIR JEND. KATAMSO NO.25,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,50
DILLA'S CATERING,"JL.PHH MUSTOPHA, GG. NEGLASARI UTARA GG. BINAAN III NO.17",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,24
COKOSOD.ID,RUKO SURAPATI CORE K17 LANTAI 1,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,170
MANTES.ID RUMAH JAJAN,KOMPLEK DU F23,cibeunying kidul,3.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,309
KEDAI NDUL,JL. VILLA ASRI NO.3,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,412
NYABA COFFEE & CHIT-CHAT,JL. UTAMA 1 NO.45-46,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,33
COFFEE UNIVERSITY,JL. CIKUTRA NO.204A,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,32
WARUNG KOPI DAN INDOMIE,"GG. PELITA I NO.11, RT.3/RW.2",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,42
MOI KITCHEN BANDUNG,4J5X+4FH,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,7
BARINGIN BARU,JL. CIKUTRA NO.130,cibeunying kidul,4.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,4758
RESTO 9,"APARTEMEN GATEWAY CICADAS BLOK SAFIRE A NO 9 LANTAI G, KEL",cibeunying kidul,2.3,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Restaurant,574
ORANJE CAFE,"APARTEMENT GATEWAY, JL. A. YANI BLOK GF A NO.16",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,128
KEDAI SATE MARANGGI PRIYANGAN.,JL. KHP HASAN MUSTOPA NO.139,cibeunying kidul,4.3,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,489
EATMORE BURGER,JL. A. YANI NO.782,kiaracondong,4.8,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Fast Food,54
YUMM DIMSUM,GG. IRIT NO.4,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Chinese Food,661
WARUNG NASI DAN LOTEK IBU IHAT JL. UTAMA NO 65,"4M24+3MC, UNNAMED ROAD",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,193
RUMAH MAKAN BU ELLEN,"SURAPATI CORE, JL. KHP HASAN MUSTOPA BLOK K NO.16",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,569
FRIEND CHICKEN PASIR LEUTIK,JL. ASRI NO.15,cibeunying kidul,3.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,453
BURGER PHK,JL. PADASUKA NO.50,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,160
MAKAN-IN!,"KOMPLEKS BUMI ASRI, JL. TUGU ASRI NO.A5",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,212
PESTA PIZZA (BANDUNG ERA SENTRA TALENTA. PT),"JL. PENGHULU HAJI HASAN MUSTOPA NO.39, GRAND SURAPATI CORE,
  GRAHA DFI, 2ND FLOOR",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,98
WARUNG JANARI,JL. KHP HASAN MUSTOPA NO.16,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,94
499 RESTORAN,JL. A. YANI NO.687,cibeunying kidul,4.5,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,95
ESSA BAR & DRINK,JL. KHP HASAN MUSTOPA NO.212,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,289
TEA IS BANDUNG,"3MX3+344, JL. KHP HASAN MUSTOPA",cibeunying kidul,3.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Restaurant,4785
SEWANGI KOPI INDONESIA,"APARTEMEN GATEWAY, JL. A. YANI NO.669 LG A.7A",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,82
WARUNG HDHT,JL. SETIA NO.18,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,49
ZUPA SOUP,GG. SUKAPADA I NO.80,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,182
STEAMBOAT BOOTAN,"3JQP+29G, GG. SUNARYO",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,128
EVERYTHING FOOD,3JVW+94R,cibeunying kidul,4.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,78
WARUNG SOTO DAN DIMSUM GAYA,"JL. NEGLASARI SELATAN NO.41 RT07, RW.13",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,771
MM FRIED CHICKEN,"APARTEMENT GATEWAY, JL. A. YANI LANTAI GF BLOK C NO 19",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,284
MAFAAZA CHICKEN PADASUKA,JL. KHP HASAN MUSTOPA NO.228-224,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,63
CHICKEN FIRE CHEESE,JL. BBK. H. TAMIM NO.26,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,121
START UP UFO BURGER CICADAS,JL. BBK. H. TAMIM JL. A. YANI NO.26,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,259
JOEY'S HOAGIE,"APARTEMENT GATEWAY, JL. JEND. A. YANI NO.669, PADASUKA,
  CIBEUNYING KIDUL",cibeunying kidul,4.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,12
AYAM SOX,JL. BRIGADIR JEND. KATAMSO NO.19B,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,161
BANTEN PRIDE,"3JVR+P2P, GG. SUKARELA",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,118
W19 SOCIAL BAR,"4J2Q+8VR, JL. KHP HASAN MUSTOPA",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,211
DRAW COFFEE,JL. KHP HASAN MUSTOPA NO.54,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,171
OICOFFEE_,JALAN BRIGJEN JL. TERUSAN KATAMSO NO.18,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,44
KOPI IDIOT,JL. SEKEPANJANG 2 NO.17B,cibeunying kidul,4.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Cafe,4820
BLACK INSOMNIA COFFEE,JL. TERUSAN KATAMSO NO.151B,cibeunying kidul,4.6,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,98
RUMAH MAKAN BU WIN,JL. CIKUTRA NO.91,cibeunying kidul,4.0,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Local Food,2562
MAKAN MIE,JL. PAHLAWAN NO.24,cibeunying kidul,4.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Local Food,417
BEELICIOUS RICEBOWL,JL. PAHLAWAN,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,185
CALIFORNIA FRIED CHICKEN,"GRIYA PAHLAWAN, JL. PAHLAWAN LT.3",cibeunying kidul,3.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Fast Food,341
WARUNG JAVA,JL. KHP HASAN MUSTOPA NO.68,cibeunying kidul,4.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Local Food,4961
MIE MERAPI PAHLAWAN,JL. PAHLAWAN NO.43,cibeunying kaler,4.3,Rp 15.000 - 50.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Restaurant,1190
PHOPHO KITCHEN BANDUNG,JL. H. SYAHRONI GG.CENDRAWASIH I NO.42,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,648
RISS MANIS,"CIKUTRA, CIBEUNYING KIDUL, BANDUNG CITY, WEST JAVA 40124",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,33
SWARMA KEBAB,JL. CIKUTRA BARAT NO.9,cibeunying kaler,4.554545454545456,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,327
WARUNG MAKAN MBA IRAH,JL. SAPUJAGAT NO.23-73,cibeunying kaler,4.554545454545456,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Local Food,666
WAROHMAH KITCHEN,"GG. LAS ACIP, JL. CIDURIAN UTARA I NO.42, RT.02/RW.05",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,14
MEALSBYDINA,PATOKAN SEBELAH KEDAI 82,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,72
FRESH AND HEALTHY CATERING,JL. ASEP BERLIAN,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,112
QUAL COFFEE 2.0,"GEDUNG DAPOER DOEAAN, JL. A. YANI NO.417",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,163
KOPI ADA,JL. CISOKAN NO.B. 6,cibeunying kidul,4.9,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,145
SUPPLIER DIMSUM BANDUNG - DIMSUM INMONS BDG,GG. SARTIKA NO.38,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Chinese Food,315
KEDAI MAKAN ASIK,JL. CISOKAN NO.13,cibeunying kidul,4.9,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,68
RENDANG KEMASAN RESTU MANDE OUTLET KATAMSO,JL. CISOKAN NO.2,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,469
RUMAH MAKAN RESTU MANDE KATAMSO SPESIALIS NASI KOTAK,JL. CISOKAN NO.2,cibeunying kidul,4.4,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Local Food,493
WILLY'S CRUNCHY CHICKEN,JL. AWI BITUNG NO.37,cibeunying kidul,3.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Restaurant,400
CHIKEN KID,GG. GARUDA,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,238
WING WINGAN CICADAS,3JRR+86M,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,65
RICE BOWL BUNDA,GG. JAELANI NO.38,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,48
RUMAH MAKAN PELANGI,"TOWER SAPPHIRE, GATEWAY, APARTEMEN, JL. A. YANI NO.669",cibeunying kidul,1.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Local Food,89
DAILY FIT MEALS,JL. BATIK JOGJA NO.42,cibeunying kaler,4.1,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Restaurant,540
DESSERT EPIW,"JL. SUKAMANTRI II NO.3/144D, RT.07/RW.02",cibeunying kaler,4.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Medium (3.5-4.0),Restaurant,4893
DM CATERING,JL. PASIR GG. TURI JL. CIKUTRA BARAT NO.43,cibeunying kaler,4.554545454545456,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,163
GRANDE BURGER,JL. JALAPRANG NO.2A,cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Fast Food,34
KANTIN BUDGET MEAL,JL. SURAPATI NO.119,cibeunying kaler,4.554545454545456,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,71
KEBAB ARABIAN,"JL. JALAPRANG NO.5, RW.12",cibeunying kaler,4.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Medium (3.5-4.0),Restaurant,196
KURMIN.ID,JL. JALAPRANG NO.2A,cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,7
MARKAT COFFEE AND DESSERT,JL. JALAPRANG NO.81,cibeunying kaler,4.8,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Cafe,115
MASLOW SMOKEHOUSE,JL. BATIK KUMELI NO.38,cibeunying kaler,4.9,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,107
RANGGON RESTO,JL. SURAPATI NO.193,cibeunying kaler,4.9,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,17
RICE CUP & KEYA BY SAMBARA,JL. SIDOMUKTI NO.68,cibeunying kaler,4.1,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Restaurant,641
SAINE KITCHEN,JL. GAMBIR SAKETI NO.6,cibeunying kaler,4.5,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Restaurant,197
SENYAWA COFFEE.ID,JL. RERENG ADUMANIS NO.15,cibeunying kaler,4.9,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Cafe,8
SHIDOKOFFEE,JL. SIDOMUKTI NO.9,cibeunying kaler,4.7,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,590
SARAE BAKES PAHLAWAN - HALAL GANDUM VEGAN,"PASAR KREATIF, JL. PAHLAWAN NO.70",cibeunying kaler,4.9,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,13
SEAFOOD KILOAN BANG BOPAK CAB. PAHLAWAN,JL. PAHLAWAN NO.78,cibeunying kaler,4.4,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Seafood,1372
SPICYWON KOREAN STREET FOOD HALAL CIKUTRA,"JL. CIKUTRA, DEKAT PERTIGAAN JL. BOJONG KONENG NO.189",cibeunying kaler,4.4,Rp 15.000 - 50.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Korean Food,590
SUZUSHII SUSHI & KATSU,JL. CIKUTRA NO.171,cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Japanese Food,32
SVADISTA CATERING,JL. CIKUTRA BARU III NO.11,cibeunying kaler,4.7,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,349
THE BURGERIN,JL. CIKUTRA NO.189,cibeunying kaler,4.3,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Fast Food,1867
TOKO AYYUWA - PUSAT KURMA BANDUNG,JL. PAHLAWAN NO.46,cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,78
TUWI COFFE & MEALS,"12, JL. KHP HASAN MUSTOPA NO.56",ujung berung,4.0,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Medium (3.5-4.0),Restaurant,551
V.O.C. INLANDER KOFFIEHUIS,"4J3P+P3J, JL. PAHLAWAN",cibeunying kaler,4.8,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,198
WARUNG JEPANG - JAPANESE STREET FOOD,"NO., JL. CIKUTRA NO.302",cibeunying kaler,4.554545454545456,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Local Food,106
"HANGRY AHMAD YANI - MOON CHICKEN X SAN GYU X AYAM KOPLO X DARI
  PADA X WAI THAI FOOD X ACCHA X HOT SIDE STORY X BU TUMBAR",JL. KHP HASAN MUSTOPA NO.27,cibeunying kidul,3.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,4246
ASAPINAJA (BEEF & CHICKEN),JL. SURAPATI NO.131,cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,9
BARUNTAS,4J2J+H35,cibeunying kaler,4.6,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,754
BASECAMP,"4J3H+MPW, JL. GAMBIR ANOM BUNTU ATAS",cibeunying kaler,4.554545454545456,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,781
BASO IKAN JP MANG JEK,JL. JALAPRANG NO.93,cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,44
BROWNIES SANDWICH ICE CREAM BANDOENG VAN JAVA,JL. BATIK JOGJA NO.53,cibeunying kaler,4.1,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Dessert,1682
ELFÜN,JL. PAHLAWAN NO.64,cibeunying kaler,4.7,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,122
